date_id,date_key,year,quarter,month_number,month_name,week_of_year,day_of_month,day_name,is_weekend,year_month
20171115,2017-11-15,2017,4,11,November,46,15,Wednesday,Weekday,2017-11
20171116,2017-11-16,2017,4,11,November,46,16,Thursday,Weekday,2017-11
20171117,2017-11-17,2017,4,11,November,46,17,Friday,Weekday,2017-11
20171118,2017-11-18,2017,4,11,November,46,18,Saturday,Weekend,2017-11
20171119,2017-11-19,2017,4,11,November,47,19,Sunday,Weekend,2017-11
20171120,2017-11-20,2017,4,11,November,47,20,Monday,Weekday,2017-11
20171121,2017-11-21,2017,4,11,November,47,21,Tuesday,Weekday,2017-11
20171122,2017-11-22,2017,4,11,November,47,22,Wednesday,Weekday,2017-11
20171123,2017-11-23,2017,4,11,November,47,23,Thursday,Weekday,2017-11
20171124,2017-11-24,2017,4,11,November,47,24,Friday,Weekday,2017-11
20171125,2017-11-25,2017,4,11,November,47,25,Saturday,Weekend,2017-11
20171126,2017-11-26,2017,4,11,November,48,26,Sunday,Weekend,2017-11
20171127,2017-11-27,2017,4,11,November,48,27,Monday,Weekday,2017-11
20171128,2017-11-28,2017,4,11,November,48,28,Tuesday,Weekday,2017-11
20171129,2017-11-29,2017,4,11,November,48,29,Wednesday,Weekday,2017-11
20171130,2017-11-30,2017,4,11,November,48,30,Thursday,Weekday,2017-11
20171201,2017-12-01,2017,4,12,December,48,1,Friday,Weekday,2017-12
20171202,2017-12-02,2017,4,12,December,48,2,Saturday,Weekend,2017-12
20171203,2017-12-03,2017,4,12,December,49,3,Sunday,Weekend,2017-12
20171204,2017-12-04,2017,4,12,December,49,4,Monday,Weekday,2017-12
20171205,2017-12-05,2017,4,12,December,49,5,Tuesday,Weekday,2017-12
20171206,2017-12-06,2017,4,12,December,49,6,Wednesday,Weekday,2017-12
20171207,2017-12-07,2017,4,12,December,49,7,Thursday,Weekday,2017-12
20171208,2017-12-08,2017,4,12,December,49,8,Friday,Weekday,2017-12
20171209,2017-12-09,2017,4,12,December,49,9,Saturday,Weekend,2017-12
20171210,2017-12-10,2017,4,12,December,50,10,Sunday,Weekend,2017-12
